keys,en
ITEM_TEAM_ALCHEMY_SET,Alchemy set
ITEM_TEAM_BAG_OF_TREATS,Bag of treats
ITEM_TEAM_BERSERKER_RING,Berserker ring
ITEM_TEAM_BIG_VIALS,Big vials
ITEM_TEAM_BLOOD_BATH,Blood bath
ITEM_TEAM_CLOAK_AND_DAGGER,Cloak and dagger
ITEM_TEAM_COMMUNITY_BANK,Community bank
ITEM_TEAM_EXTRA_KIDNEY,Extra kidney
ITEM_TEAM_FIRECRACKER,Firecracker
ITEM_TEAM_FLASK_OF_STONE,Flask of Stone Essence
ITEM_TEAM_GUARDIAN_SHIELD,Guardian's shield
ITEM_TEAM_MANA_SHIELD,Mana shield
ITEM_TEAM_PRAYER_BOOK,Prayer book
ITEM_TEAM_RALLYING_FLAG,Rallying flag
ITEM_TEAM_ROGUE_PURSE,Rogue purse
ITEM_TEAM_SHADOW_MASK,Shadow mask
ITEM_TEAM_SHROUDED_HOOD,Shrouded hood
ITEM_TEAM_SMOKE_BOMB,Smoke bomb
ITEM_TEAM_TONIC_OF_LIFE,Tonic of life
ITEM_TEAM_WATCH_TOWER,Watch tower
ITEM_TEAM_WHEEL_OF_FORTUNE,Wheel of Fortune
ITEM_TEAM_PROTECTIVE_TALISMAN,Protective talisman
ITEM_TEAM_HEALTH_POTION,Health potion
ITEM_TEAM_ENERGY_BREW,Energy brew
