keys,en,ru,uk
EFFECT_BUB_SWARM,When an enemy dies it releases 4 homing flies from its corpse dealing {1} ({3}) damage,Когда враг умирает из его трупа вылетает 4 самонаводящихся мухи наносящие {1} ({3}) урона,"Коли ворог помирає з його трупа вилітає 4 мухи, що самонаводяться та завдають {1} ({3}) шкоди"
EFFECT_SHOT_ORBITAL,Spawns a companion that flies around you and shoots enemies for {0} ({1}) damage,Создаёт компаньона который летает вокруг тебя и стреляет во врагов нанося {0} ({1}) урона,"Створює компаньйона, який літає навколо тебе і стріляє у ворогів, завдаючи {0} ({1}) шкоди"
EFFECT_SWARM,When an enemy dies it releases 2 homing flies from its corpse dealing {1} ({3}) damage,Когда враг умирает из его трупа вылетает 2 самонаводящихся мухи наносящие {1} ({3}) урона,"Коли ворог помирає з його трупа вилітає 2 мухи, що самонаводяться та завдають {1} ({3}) шкоди"
EFFECT_GLITCH_ONE,Has no ability,Не имеет способностей,Не має здібностей
EFFECT_GLITCH_TWO,Can start with any Extatonion weapon,Может начинать игру с любым Extatonion оружием,Може починати гру з будь-якою зброєю з Extatonion 
EFFECT_REDUCE_SURVIVAL,Survivability modifications are reduced by 35%,не юзается,не використовується
EFFECT_INCREASE_DAMAGE,Damage modifications are increased by 35%,не юзается,не використовується
EFFECT_WORKS_BOTH,Works both ways,Работает в обе стороны,Працює в обох напрямках
EFFECT_HEAL_ORBITAL,Spawns a companion that flies around you and shoots enemies for {0} ({1}) damage with [color=#00ff00]20%[/color] lifesteal,Создаёт компаньона который летает вокруг тебя и стреляет во врагов нанося {0} ({1}) урона с [color=#00ff00]20%[/color] кражей жизни,Створює компаньйона який літає навколо тебе і стріляє у ворогів завдаючи {0} ({1}) шкоди з [color=#00ff00]20%[/color] вампіризму 
CHAR_GLITCHED,Glitched,Глючный,Глючний
CHAR_AGENT,Agent,Агент,Агент
CHAR_BEELZEBUB,Beelzebub,Вельзевул,Вельзевул
CHAR_BIOPUNK,Biopunk,Биопанк,Біопанк
CHAR_LONG_ARMS,Long Arms,Длиннорукий,Довгорукий
CHAR_PEASANT,Peasant,Крестьянин,Селянин
ITEM_BLANKET,Blanket,Одеяло,Ковдра
ITEM_BRUNS_BADGE,Brun's Badge,Значок Бруна,Значок Бруна
ITEM_EXTRAONION,Extra Onion,Бонусный Лук,Додаткова цибуля
ITEM_GABRIELS_GLOVES,Gabriel's Gloves,Перчатки Габриэля,Рукавички Габріеля
ITEM_JOHNS_COAT,John's Coat,Пальто Джона,Куртка Джона
ITEM_MIMICRY,Mimicry,Мимикрия,Мімікрія
ITEM_NOT_A_RAT,Not a Rat,Некрыса,Нещур
ITEM_PATRIOTISM,Patriotism,Патриотизм,Патріотизм
ITEM_PETERS_TRAP,Peter's Trap,Ловушка Питера,Пастка Петра
ITEM_PLAGUE_MASK,Plague Mask,Маска Чумного,Маска чумного
ITEM_SKALS_FIREWORK,Skal's Firework,Фейерверк Скала,Феєрверк Скала
ITEM_TIJOE_MASK,Tijoe Mask,Маска Тиджа,Маска Тіджа
ITEM_ABADDON,Abaddon,АБАДДООООН,Абаддон
ITEM_DARK_ALTAR,Dark Altar,Тёмный Алтарь,Темний вівтар
ITEM_CURSED_DICE,Cursed Dice,Проклятый Кубик,Проклятий кубик
ITEM_FIREFLY,Firefly,Светлячок,Світлячок
ITEM_SAY_MY_NAME,Heisenberg,Хайзенберг,Гейзенберг
ITEM_INVESTMENTS,Investments,Инвестиции,Інвестиції
ITEM_JUNES_TAIL,June's Tail,Хвост Джуна,Хвіст Джуна
ITEM_MOD_GUIDE,Modding Guide,Гайд По Мододельству,Керівництво з Модоробства
ITEM_OLEXA_MANTLE,Olexa's Mantle,Мантия Olexa,Мантія Olexa
ITEM_CHAOS_ORB,Orb Of Chaos,Сфера Хаоса,Сфера хаосу
ITEM_ATTRACTIVE_SPIRIT,Attractive Spirit,Привлекательный Дух,Вабливий Дух
ITEM_DAMI_PLUSH,Dami's Plushie,Плюш Дами,Плюш Дамі
ITEM_DRONE,Drone,Дрон,Дрон
ITEM_SPIRIT_YELLOW,Fighting Spirit,Боевой Дух,Бойовий дух
ITEM_FRIENDLY_ALIEN,Friendly Alien,Дружелюбный Инопланетянин,Доброзичливий Прибулець
